Organizing Committee,TECHNICAL PROGRAM CHAIRS,SANJAY PATE,"NANASAHEB Y.N.CHAVAN ARTS,SCIENCE AND COMMERCE COLLEGE, CHALISGAON"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sathyanarayanan S,Sri Sathya Sai University for Human Excellence
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Satish Reddy Budati,RiceFW Technologies
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Satyanarayana Gudimetla,Nike India Technology Private Ltd
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sauhard Bhatt,Independent Researcher
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Shalendra Parashar,Verizon
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Shallu Sehgal,Shoolini Institute of Life Sciences and Business Management
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sharad Jadhav,"Swami Ramanand Teerth Marathwada University,India"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Shaveta Thakral,"Pune Institute of Computer Technology, India"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sherin zafar,Jamia Hamdard
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Shilpa Sthavarikmath,Central University of Karnataka
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Shivanand Gornale,Rani Channamma University Belagavi
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Shreya Tendulkar,Pune University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Shweta Pandey,Uttaranchal University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Siddhant Katkar,Central University of Karnataka
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sitaram Srivatsavai,Independent Researcher
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Siva Prasad Sunkara,Microsoft Corporation
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Smita Agrawal,"Department Of Electronics and Communication Engineering, Jyothy Institute of Technology"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,SONAM .,USC I & T
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sopan Talekar,MVPS Karmaveer Adv. Baburao Thakare College of Engineering
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Spoorthy G,VNR Vignana Jyothi Institute of Engineering and technology
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sri Ram Reddy Durgempudi,"Arriver Software, LLC"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Srikanth Perla,"Charles River Laboratories Inc, Wilmington, MA. 01887. USA"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Srinivas Reddy Pulyala,Optiv
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Srinivasu Yalamati,Microsoft Corporation
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Sudeep Mungara,Meta
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Surbhi Gupta,Model Institute of Engineering and Technology
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Suresh Dendukuri,Innovtech Inc
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Swapna Chimanchodkar,IEEE Senior Member
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Swathi P S,Central University of Karnataka
Organizing Committee,TECHNICAL PROGRAM CHAIRS,TAPESH MEGHWAL,CENTRAL UNIVERSITY OF KARNATAKA
Organizing Committee,TECHNICAL PROGRAM CHAIRS,tasneem jahan,sagar institute of researh& Technology
Organizing Committee,TECHNICAL PROGRAM CHAIRS,TAYYAB KHAN,"IIIT SONEPAT, Haryana"
